Adam Driver
Adrien Brody
Agnes Moorehead
Akim Tamiroff
Al Pacino
Alan Arkin
Albert Finney
Alec Guinness
Alice Brady
Amy Adams
Amy Madigan
Andrew Garfield
Angela Bassett
Angela Lansbury
Angelina Jolie
Anjelica Huston
Ann-Margret
Anna Magnani
Anne Bancroft
Anne Baxter
Anne Hathaway
Anne Revere
Annette Bening
Anthony Hopkins
Anthony Quinn
Arthur Kennedy
Arthur O'Connell
Audrey Hepburn
Barbara Stanwyck
Barbra Streisand
Basil Rathbone
Ben Affleck
Ben Kingsley
Benedict Cumberbatch
Benicio del Toro
Bette Davis
Bette Midler
Beulah Bondi
Billy Bob Thornton
Bing Crosby
Brad Pitt
Bradley Cooper
Brenda Blethyn
Bruce Dern
Burgess Meredith
Burt Lancaster
Carey Mulligan
Cary Grant
Casey Affleck
Cate Blanchett
Catherine Keener
Cecil Kellaway
Celeste Holm
Charles Bickford
Charles Boyer
Charles Coburn
Charles Durning
Charles Laughton
Charlie Chaplin
Charlize Theron
Cher
Christian Bale
Christoph Waltz
Christopher Plummer
Christopher Walken
Claire Trevor
Clark Gable
Claude Rains
Claudette Colbert
Clifton Webb
Clint Eastwood
Colin Firth
Colman Domingo
Cynthia Erivo
Daniel Day-Lewis
Daniel Kaluuya
Deborah Kerr
Debra Winger
Denzel Washington
Diane Keaton
Diane Ladd
Dianne Wiest
Djimon Hounsou
Dustin Hoffman
Dyan Cannon
Ed Harris
Eddie Albert
Eddie Redmayne
Edith Evans
Edmond O'Brien
Edmund Gwenn
Edward Norton
Eileen Heckart
Eleanor Parker
Elizabeth Taylor
Ellen Burstyn
Elsa Lanchester
Emil Jannings
Emily Watson
Emma Stone
Emma Thompson
Estelle Parsons
Ethan Hawke
Ethel Barrymore
Fay Bainter
Faye Dunaway
Felicity Jones
Frances McDormand
Frank Morgan
Frank Sinatra
Fredric March
Gale Sondergaard
Gary Cooper
Gary Oldman
Geena Davis
Gena Rowlands
Gene Hackman
Geoffrey Rush
George Arliss
George C. Scott
George Clooney
Geraldine Page
Gig Young
Gladys Cooper
Glenda Jackson
Glenn Close
Gloria Grahame
Gloria Swanson
Goldie Hawn
Grace Kelly
Greer Garson
Gregory Peck
Greta Garbo
Heath Ledger
Helen Hayes
Helen Hunt
Helen Mirren
Helena Bonham Carter
Henry Fonda
Hilary Swank
Holly Hunter
Hugh Griffith
Humphrey Bogart
Ian McKellen
Ingrid Bergman
Irene Dunne
Isabelle Adjani
J. Carrol Naish
J. K. Simmons
Jack Lemmon
